experiment_name,domain,chrf_score,avg_end_to_end_latency_seconds,avg_mt_latency_seconds,asr_word_latency_cla_mean_s,translation_ne_char_cross_batch_mean,mt_queue_wait_median_s,mt_stream_duration_mean_s
youtube_10m_to_20m,,,,,,,,
youtube_10m_to_20m,,,,,,,,
youtube_10m_to_12m,,,,,,,,
youtube_10m_to_12m_fixed,,,,,,,,
ep_sweep_300ms,,,,,,,,
ep_sweep_500ms,,,,,,,,
ep_sweep_800ms,,,,,,,,
ep_sweep_1200ms,,,,,,,,
ep_sweep_1500ms,,,,,,,,
ep_sweep_300ms,,,,,,,,
ep_sweep_500ms,,,,,,,,
ep_sweep_800ms,,,,,,,,
ep_sweep_1200ms,,,,,,,,
ep_sweep_1500ms,,,,,,,,
youtube_10m_to_12m_new_prompt,,,,,,,,
asr_keyterms_on_rpmunlimited,ml_transformers,,6.99,1.71,,1.0458794491787227,1.903568983078003,0.08726526148178998
chunk_latency_sweep_300ms_rpmunlimited,ml_transformers,,7.03,1.81,,0.9282301750474461,1.9010069370269775,0.08299977070576436
chunk_latency_sweep_500ms_rpmunlimited,ml_transformers,,6.96,1.74,,1.2424425819113376,2.3248000144958496,0.052501467296055385
chunk_latency_sweep_800ms_rpmunlimited,ml_transformers,,6.95,1.78,,1.2142111895263155,2.123286724090576,0.06931665284293038
chunk_latency_sweep_1200ms_rpmunlimited,ml_transformers,,7.17,1.73,,1.234669216171317,2.416958808898926,0.05043491636003767
chunk_latency_sweep_1500ms_rpmunlimited,ml_transformers,,7.13,1.86,,1.256556870985482,2.104948043823242,0.06997064862932478
chunk_latency_sweep_2000ms_rpmunlimited,ml_transformers,,7.11,1.84,,1.4562422227844307,2.0972518920898438,0.05876271864947151
smoketest_rpmunlimited,,,5.02,0.12,,3.2222222222222223,1.5712419748306274,0.10959100723266602
h_baseline_rpm9_rpmunlimited,,,6.73,1.58,,0.7683975510528306,1.9256870746612549,0.06994114050994048
h_continuation_anchor_test_rpmunlimited,,,8.02,1.65,,0.7478115750970442,1.9945976734161377,0.06907512744267781
h_localagreement_commit_test_redo_rpm60,,,7.93,3.93,,2.421947329048169,2.1171929836273193,0.020738423625125162
h_masking_holdback_rpm9_redo_rpm60,,,6.72,1.65,,0.5729711251124294,1.9558918476104736,0.07429427713961215
caption_demo_openai_redo_rpm60,,,6.78,1.59,,,2.0621931552886963,0.0840140742224616
llm_course_transformer_clip_rpm60,llm_architecture,,6.51,1.21,,,1.8025009632110596,0.08366887092590332
compression_actions_prompt_replay_baseline,llm_architecture,,,,,,,
compression_actions_prompt_replay_treatment,llm_architecture,,,,,,,
current_best_demo,,,6.41,1.40,,,1.8908171653747559,0.07072104634465398
